,title,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,url,allows_Occasional overnight guests,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,Enclosed balcony,Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
820,Cosy bedroom in a 5-bedroom next to Universidade Lusíada,10.0,4,Single bedroom,1,5,1,250.0,https://www.uniplaces.com/accommodation/lisbon/15920,0,0,1,0,1,0,0,0,1,0,2,Fortnightly,Included,0.0,Not specified,27.0,Ajuda,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0.0,0,25.0,9.0,0,1,1,0,0,0,0.0,0
821,Excellent double ensuite bedroom in Roma-Areeiro,18.0,0,Double bedroom,2,2,1,600.0,https://www.uniplaces.com/accommodation/lisbon/434580,0,0,1,0,1,0,0,3,1,0,0,Fortnightly,Included,50.0,Fortnightly,90.0,Roma-Areeiro,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.0,0,,,1,1,0,1,0,0,0.0,1
822,Very bright single room next to Saldanha metro station,17.0,5,Single bedroom,1,20,5,395.0,https://www.uniplaces.com/accommodation/lisbon/130091,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,1,0,0,0,0.0,0
823,Neat single bedroom in Saldanha,29.0,5,Single bedroom,1,20,5,395.0,https://www.uniplaces.com/accommodation/lisbon/131076,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,0,2,2,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,1,0,0,0,0.0,0
824,Charismatic single bedroom near the Sete Rios train station,12.0,5,Single bedroom,1,4,2,275.0,https://www.uniplaces.com/accommodation/lisbon/62339,1,0,1,0,0,1,1,3,1,0,1,Fortnightly,Included,0.0,Not specified,27.0,Sete Rios,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.0,0,,,0,1,1,0,0,1,0.0,0
825,Snug single bedroom in a 7-bedroom flat near Instituto Superior Técnico,19.0,3,Single bedroom,1,7,2,340.0,https://www.uniplaces.com/accommodation/lisbon/54384,0,0,1,1,1,1,1,1,0,0,1,Monthly,Included,0.0,Weekly,27.0,Arroios,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,50.0,0,120.0,9.0,0,0,1,0,0,0,0.0,0
826,Fresh and welcoming single bedroom near Alameda metro station,19.0,4,Single bedroom,1,7,2,340.0,https://www.uniplaces.com/accommodation/lisbon/54381,0,0,1,1,1,1,1,1,0,0,1,Monthly,Included,0.0,Weekly,27.0,Arroios,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,50.0,0,120.0,10.0,0,0,1,0,0,0,0.0,0
827,"Homely double ensuite bedroom, in Carcacvelos",6.0,0,Double bedroom,1,2,0,500.0,https://www.uniplaces.com/accommodation/lisbon/427232,0,0,1,1,1,0,0,1,0,0,1,Fortnightly,Included,0.0,Not specified,90.0,Carcavelos,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,1,0,0,1,1,1,0.0,1
828,Nice double bedroom near Amadora Este metro station,22.0,0,Double bedroom,2,6,1,300.0,https://www.uniplaces.com/accommodation/lisbon/407898,0,0,0,1,1,0,0,2,0,0,0,Monthly,Included,50.0,Not specified,28.0,Amadora,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,45.0,0,,,0,0,0,1,0,0,0.0,0
829,Incredible double bedroom near Amadora Este metro station,28.0,0,Double bedroom,2,6,1,300.0,https://www.uniplaces.com/accommodation/lisbon/407889,0,0,1,1,1,0,0,2,0,0,0,Monthly,Included,50.0,Not specified,28.0,Amadora,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,45.0,0,,,0,0,0,1,0,0,0.0,0
830,Cool single bedroom in Saldanha,28.0,5,Single bedroom,1,20,5,395.0,https://www.uniplaces.com/accommodation/lisbon/131085,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,0,2,2,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,1,0,0,0,0.0,0
831,Impressive single bedroom near Saldanha metro station,31.0,5,Single bedroom,1,20,5,395.0,https://www.uniplaces.com/accommodation/lisbon/131084,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,0,2,2,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,1,0,0,0,0.0,0
832,Very comfortable room in Saldanha,22.0,4,Double bedroom,1,20,5,395.0,https://www.uniplaces.com/accommodation/lisbon/130090,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,50.0,0,400.0,,0,0,0,1,0,0,0.0,0
833,Spacious double room in Saldanha,17.0,5,Double bedroom,1,20,5,395.0,https://www.uniplaces.com/accommodation/lisbon/130092,0,0,1,1,1,1,1,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,0,1,0,0,0.0,0
834,"Single bedroom in a 8-bedroom flat, in Anjos",7.0,0,Single bedroom,1,8,4,500.0,https://www.uniplaces.com/accommodation/lisbon/433232,0,1,0,0,0,1,1,1,0,0,0,Fortnightly,Included,0.0,Not specified,27.0,Anjos,1,0,0,0,0,1,1,0,3,3,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,0,,,0,0,1,0,1,1,0.0,1
835,"Comfy single bedroom in a student flat, in Anjos",7.0,0,Single bedroom,1,8,4,500.0,https://www.uniplaces.com/accommodation/lisbon/433228,0,1,1,0,0,1,1,1,0,0,0,Fortnightly,Included,0.0,Not specified,27.0,Anjos,1,0,0,0,0,1,1,0,3,3,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,0,,,0,0,1,0,1,1,0.0,1
836,"Single Room in a nice Residence, in Arroios",18.0,5,Single bedroom,1,0,2,300.0,https://www.uniplaces.com/accommodation/lisbon/314854,0,0,1,0,1,1,1,3,1,0,2,Monthly,Included,0.0,Weekly,27.0,Arroios,1,1,0,0,0,1,0,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0.0,0,100.0,,0,1,1,0,0,0,0.0,0
837,"Single bedroom, with private bathroom and balcony, in 4-bedroom apartment",10.0,0,Single bedroom,1,4,0,380.0,https://www.uniplaces.com/accommodation/lisbon/136913,0,0,1,1,1,0,0,1,0,0,1,Fortnightly,Included,0.0,Not specified,27.0,Alameda,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,1,0,1,0,1,1,0.0,0
838,Lovely 2-bunk bedroom for 2 people with private terrace,9.0,2,Multiple bedroom,2,0,4,500.0,https://www.uniplaces.com/accommodation/lisbon/412301,0,0,1,1,0,0,0,1,0,0,1,Fortnightly,Included,0.0,Not specified,27.0,Entrecampos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,4,0,0,0,0.0,1
839,Room 309 for two with A/C. Apartment in a central quiet area. Bills & WIFI included,8.0,0,Twin bedroom,2,6,3,500.0,https://www.uniplaces.com/accommodation/lisbon/354434,0,0,1,1,1,1,1,2,0,0,1,Fortnightly,Included,0.0,Not specified,90.0,Entrecampos,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,0,180.0,,0,0,2,0,0,1,0.0,1
840,Great-looking room in Saldanha,17.0,5,Single bedroom,1,20,5,425.0,https://www.uniplaces.com/accommodation/lisbon/130089,0,0,1,1,1,1,1,1,0,0,1,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,50.0,0,400.0,,0,0,1,0,0,0,0.0,0
841,Cozy single bedroom near Fonte Luminosa,40.0,0,Single bedroom,1,7,2,320.0,https://www.uniplaces.com/accommodation/lisbon/331500,0,0,0,1,1,1,1,0,0,0,0,Monthly,Included,0.0,Not specified,28.0,Arroios,1,1,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,50.0,0,,,0,0,1,0,0,0,0.0,0
842,Nice single bedroom in Almada,11.0,0,Single bedroom,1,5,3,450.0,https://www.uniplaces.com/accommodation/lisbon/434635,0,0,1,1,2,0,0,3,1,0,0,Monthly,Included,0.0,Weekly,180.0,Almada,1,1,1,1,0,0,1,0,3,3,3,0,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,0.0,0,,,0,1,1,0,0,0,0.0,1
843,Double bedroom near Universidade Lusíada,20.0,0,Double bedroom,2,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/173196,1,0,1,0,1,1,1,3,1,0,0,Fortnightly,Included,50.0,Not specified,90.0,Alcântara,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0.0,0,65.0,,0,1,0,1,0,0,0.0,0
844,"Pleasant single bedroom in Arroios, close to Instituto Superior Técnico",20.0,2,Single bedroom,1,7,2,350.0,https://www.uniplaces.com/accommodation/lisbon/54380,0,0,1,1,1,1,1,1,0,0,1,Monthly,Included,0.0,Weekly,27.0,Arroios,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,50.0,0,120.0,9.0,0,0,1,0,0,0,0.0,0
